niche,link,limit,start_date
douyin_food_restaurant,https://www.douyin.com/user/MS4wLjABAAAAMGzKpoVQbgKBp4Af3--mSNetVF-RxuwHaX9g1M0Ko58,10,2026-01-01
douyin_food_restaurant,https://www.douyin.com/user/MS4wLjABAAAAipThqkwlfMAhqeGrZrFlUmsUhShXM9G2b9ETyS5MRkw?from_tab_name=main,10,2026-01-01
douyin_food_restaurant,https://www.douyin.com/user/MS4wLjABAAAAAlDk2Ww2DQZdnL2kgpoeFORDM47uGnx98_-DhO8lE50,10,2026-01-01
